epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,8332.51,1.1133,0.948,1.37696,0.71986,0.65504,0.72388,0.39689,1.64953,1.22902,1.87887,0.00070696,0.00070696,0.00070696
150,8385.78,1.10619,0.95011,1.37241,0.68565,0.69165,0.72363,0.40783,1.59822,1.17324,1.84344,0.00070498,0.00070498,0.00070498
151,8439.26,1.10246,0.93633,1.37049,0.70306,0.68859,0.73221,0.41149,1.63746,1.1515,1.85191,0.000703,0.000703,0.000703
152,8492.66,1.10966,0.94192,1.378,0.66237,0.69299,0.71321,0.38513,1.65014,1.24649,1.87264,0.00070102,0.00070102,0.00070102
153,8546.1,1.11773,0.96559,1.38346,0.63374,0.68414,0.70402,0.38747,1.62992,1.23523,1.85494,0.00069904,0.00069904,0.00069904
154,8599.82,1.08501,0.94129,1.36011,0.67799,0.69839,0.71656,0.40602,1.63217,1.16133,1.87084,0.00069706,0.00069706,0.00069706
155,8652.72,1.11291,0.95396,1.37393,0.70437,0.67707,0.71996,0.40628,1.64858,1.16826,1.87424,0.00069508,0.00069508,0.00069508
156,8705.81,1.07763,0.9273,1.35607,0.70188,0.68394,0.73495,0.39944,1.63356,1.18048,1.86446,0.0006931,0.0006931,0.0006931
157,8758.79,1.09604,0.92252,1.34854,0.73109,0.66965,0.72981,0.41223,1.62982,1.16216,1.87355,0.00069112,0.00069112,0.00069112
158,8812.64,1.10216,0.93982,1.35982,0.72303,0.68461,0.74063,0.41751,1.61019,1.15181,1.84941,0.00068914,0.00068914,0.00068914
159,8870.27,1.10161,0.94725,1.35947,0.69114,0.67101,0.72549,0.41092,1.59378,1.20712,1.84358,0.00068716,0.00068716,0.00068716
160,8923.22,1.06783,0.9009,1.3464,0.69001,0.68314,0.72387,0.41296,1.6163,1.17756,1.87794,0.00068518,0.00068518,0.00068518
161,8976.36,1.07477,0.89656,1.34911,0.68603,0.67934,0.71805,0.39361,1.67249,1.19386,1.91418,0.0006832,0.0006832,0.0006832
162,9029.86,1.0938,0.93504,1.36824,0.76399,0.6563,0.74051,0.4161,1.60536,1.18108,1.87573,0.00068122,0.00068122,0.00068122
163,9083.07,1.07019,0.90914,1.34382,0.68442,0.70204,0.73477,0.42156,1.57794,1.17512,1.83694,0.00067924,0.00067924,0.00067924
164,9141.38,1.05155,0.86978,1.32809,0.72898,0.70229,0.7379,0.41207,1.59934,1.13941,1.84558,0.00067726,0.00067726,0.00067726
165,9194.64,1.05627,0.87028,1.33486,0.7291,0.69644,0.74455,0.41921,1.62017,1.14933,1.89624,0.00067528,0.00067528,0.00067528
166,9247.85,1.05949,0.85248,1.32054,0.74933,0.69135,0.74354,0.40617,1.66542,1.20687,1.9149,0.0006733,0.0006733,0.0006733
167,9302.46,1.06337,0.87069,1.32621,0.68263,0.70837,0.73846,0.40666,1.64215,1.17373,1.91867,0.00067132,0.00067132,0.00067132
168,9361.68,1.05613,0.88677,1.34145,0.74493,0.68568,0.74491,0.41631,1.62984,1.15643,1.90062,0.00066934,0.00066934,0.00066934
169,9414.99,1.04028,0.83598,1.3238,0.75628,0.6729,0.7452,0.42055,1.6163,1.12842,1.87947,0.00066736,0.00066736,0.00066736
